accuracy,micro_avg_precision,micro_avg_recall,micro_avg_f1,macro_avg_precision,macro_avg_recall,macro_avg_f1,iteration,fold,data_type
0.9964583333333332,0.9964583333333332,0.9964583333333332,0.9964583333333332,0.99646907701539,0.9964583333333332,0.9964586365567826,1,1,train
0.9783333333333334,0.9783333333333334,0.9783333333333334,0.9783333333333334,0.9784758540727604,0.9783333333333332,0.9783566427952396,1,1,val
0.9806666666666668,0.9806666666666668,0.9806666666666668,0.9806666666666668,0.980742382365435,0.9806666666666668,0.9806522604760876,1,1,test
0.9972916666666668,0.9972916666666668,0.9972916666666668,0.9972916666666668,0.9972940314703574,0.9972916666666668,0.9972910100263784,1,2,train
0.9908333333333332,0.9908333333333332,0.9908333333333332,0.9908333333333332,0.99083298572829,0.9908333333333332,0.9908245657975908,1,2,val
0.9873333333333332,0.9873333333333332,0.9873333333333332,0.9873333333333332,0.9873326173855976,0.9873333333333332,0.9873197767322944,1,2,test
0.9975,0.9975,0.9975,0.9975,0.9975150739316851,0.9975,0.997495921417969,1,3,train
0.9875,0.9875,0.9875,0.9875,0.9876618660149534,0.9875,0.9874915278013536,1,3,val
0.9753333333333334,0.9753333333333334,0.9753333333333334,0.9753333333333334,0.9756285317323414,0.9753333333333332,0.9751783774564778,1,3,test
0.9997916666666666,0.9997916666666666,0.9997916666666666,0.9997916666666666,0.9997918834547346,0.9997916666666666,0.9997916666101526,1,4,train
0.99,0.99,0.99,0.99,0.9900132582605852,0.99,0.9899964124707704,1,4,val
0.986,0.986,0.986,0.986,0.9860329140717716,0.986,0.9859598187061333,1,4,test
0.9964583333333332,0.9964583333333332,0.9964583333333332,0.9964583333333332,0.9964699476192378,0.9964583333333332,0.9964590692202436,1,5,train
0.9841666666666666,0.9841666666666666,0.9841666666666666,0.9841666666666666,0.9843604742187406,0.9841666666666664,0.9841701157921624,1,5,val
0.98,0.98,0.98,0.98,0.9802139874119234,0.98,0.9799945516914932,1,5,test
0.994375,0.994375,0.994375,0.994375,0.994425741825126,0.994375,0.9943719426711092,2,1,train
0.9733333333333334,0.9733333333333334,0.9733333333333334,0.9733333333333334,0.9741399129985876,0.9733333333333334,0.9732544519966886,2,1,val
0.9733333333333334,0.9733333333333334,0.9733333333333334,0.9733333333333334,0.974000046231159,0.9733333333333334,0.9733381737092198,2,1,test
0.9925,0.9925,0.9925,0.9925,0.9925525701713334,0.9925,0.9924902163578172,2,2,train
0.9675,0.9675,0.9675,0.9675,0.968224100187016,0.9675,0.9673154041609384,2,2,val
0.9766666666666668,0.9766666666666668,0.9766666666666668,0.9766666666666668,0.977044536987158,0.9766666666666668,0.9765331128700956,2,2,test
0.9997916666666666,0.9997916666666666,0.9997916666666666,0.9997916666666666,0.9997918834547348,0.9997916666666666,0.9997916666101526,2,3,train
0.9825,0.9825,0.9825,0.9825,0.9827686866714156,0.9825,0.9825185038587436,2,3,val
0.9826666666666668,0.9826666666666668,0.9826666666666668,0.9826666666666668,0.9828109885316364,0.9826666666666666,0.982592729934477,2,3,test
