Metrica,Modelo,iqr entrenamiento,mediana entrenamiento,iqr validacion,mediana validacion,iqr test,mediana test
accuracy,EfficientNetV2B0,0.031041666666666523,0.9608333333333332,0.029583333333333406,0.9125,0.02533333333333332,0.912
accuracy,DenseNet121,0.053333333333333344,0.904375,0.057499999999999885,0.8775,0.056666666666666754,0.876
accuracy,ResNet101V2,0.10239583333333324,0.8858333333333334,0.09375,0.8508333333333333,0.10133333333333328,0.8526666666666667
