Metrica,Modelo,iqr entrenamiento,mediana entrenamiento,iqr validacion,mediana validacion,iqr test,mediana test
accuracy,EfficientNetV2B0,0.005208333333333259,0.9964583333333332,0.009583333333333166,0.9791666666666666,0.009999999999999787,0.9773333333333334
accuracy,DenseNet121,0.028020833333333384,0.9722916666666668,0.03166666666666673,0.95,0.03333333333333344,0.9446666666666668
accuracy,ResNet101V2,0.14802083333333338,0.8779166666666667,0.1312500000000001,0.85,0.13966666666666672,0.8446666666666667
