accuracy,micro_avg_precision,micro_avg_recall,micro_avg_f1,macro_avg_precision,macro_avg_recall,macro_avg_f1,iteration,fold,data_type
0.975,0.975,0.975,0.975,0.9762113372989706,0.975,0.9747508588080684,1,1,train
0.9591666666666666,0.9591666666666666,0.9591666666666666,0.9591666666666666,0.9606331991873734,0.9591666666666668,0.9587663404318636,1,1,val
0.9493333333333334,0.9493333333333334,0.9493333333333334,0.9493333333333334,0.9511259344015556,0.9493333333333334,0.9488305972459828,1,1,test
0.9220833333333334,0.9220833333333334,0.9220833333333334,0.9220833333333334,0.9285208249603436,0.9220833333333334,0.9210464509478538,1,2,train
0.8991666666666667,0.8991666666666667,0.8991666666666667,0.8991666666666667,0.909291454998558,0.8991666666666666,0.8974862951712639,1,2,val
0.8906666666666667,0.8906666666666667,0.8906666666666667,0.8906666666666667,0.9003248503129392,0.8906666666666666,0.8887571033222779,1,2,test
0.9854166666666668,0.9854166666666668,0.9854166666666668,0.9854166666666668,0.9855861665772488,0.9854166666666668,0.985440709567772,1,3,train
0.9625,0.9625,0.9625,0.9625,0.963067862913394,0.9625,0.962546155541652,1,3,val
0.9666666666666668,0.9666666666666668,0.9666666666666668,0.9666666666666668,0.9670306214795216,0.9666666666666668,0.9667557883592222,1,3,test
0.958125,0.958125,0.958125,0.958125,0.962376507593408,0.958125,0.9578011124125956,1,4,train
0.935,0.935,0.935,0.935,0.9420295964883784,0.935,0.9344374240577812,1,4,val
0.92,0.92,0.92,0.92,0.9298162686969432,0.9200000000000002,0.9185278428746791,1,4,test
0.9889583333333334,0.9889583333333334,0.9889583333333334,0.9889583333333334,0.9890886230493104,0.9889583333333334,0.9889528815380254,1,5,train
0.9658333333333332,0.9658333333333332,0.9658333333333332,0.9658333333333332,0.966466018649528,0.9658333333333332,0.9658674044483746,1,5,val
0.964,0.964,0.964,0.964,0.9646756688330502,0.964,0.9641247851782432,1,5,test
0.9722916666666668,0.9722916666666668,0.9722916666666668,0.9722916666666668,0.9738251697040884,0.9722916666666668,0.9723803765776404,2,1,train
0.9458333333333332,0.9458333333333332,0.9458333333333332,0.9458333333333332,0.9512243375495876,0.9458333333333332,0.946373716773238,2,1,val
0.934,0.934,0.934,0.934,0.9400820154549973,0.934,0.9343539320917706,2,1,test
0.9791666666666666,0.9791666666666666,0.9791666666666666,0.9791666666666666,0.9793316750151112,0.9791666666666669,0.9791127781175184,2,2,train
0.9541666666666668,0.9541666666666668,0.9541666666666668,0.9541666666666668,0.955015384544506,0.9541666666666666,0.9541277655487576,2,2,val
0.958,0.958,0.958,0.958,0.958928471364748,0.958,0.958019584335232,2,2,test
0.7477083333333333,0.7477083333333333,0.7477083333333333,0.7477083333333333,0.7833686012405876,0.7477083333333334,0.7103106586977316,2,3,train
0.7425,0.7425,0.7425,0.7425,0.7870711422106041,0.7424999999999999,0.7047139560768073,2,3,val
0.7493333333333333,0.7493333333333333,0.7493333333333333,0.7493333333333333,0.7790069795335068,0.7493333333333332,0.7144287786526069,2,3,test
0.9847916666666666,0.9847916666666666,0.9847916666666666,0.9847916666666666,0.9850915834116958,0.9847916666666666,0.9848031438230636,2,4,train
0.9708333333333332,0.9708333333333332,0.9708333333333332,0.9708333333333332,0.9708922074155912,0.9708333333333334,0.9708340976320284,2,4,val
0.9653333333333334,0.9653333333333334,0.9653333333333334,0.9653333333333334,0.9664124274546316,0.9653333333333332,0.9653763644127666,2,4,test
0.7660416666666666,0.7660416666666666,0.7660416666666666,0.7660416666666666,0.812793564572108,0.7660416666666667,0.7588573826543258,2,5,train
0.7358333333333333,0.7358333333333333,0.7358333333333333,0.7358333333333333,0.7842392240117999,0.7358333333333335,0.7277960179296961,2,5,val
0.7313333333333333,0.7313333333333333,0.7313333333333333,0.7313333333333333,0.7815610185822273,0.7313333333333334,0.7219747601338713,2,5,test
0.9889583333333334,0.9889583333333334,0.9889583333333334,0.9889583333333334,0.98900479854342,0.9889583333333334,0.9889363018566334,3,1,train
0.9666666666666668,0.9666666666666668,0.9666666666666668,0.9666666666666668,0.9666568148794014,0.9666666666666666,0.9664767341791428,3,1,val
0.9646666666666668,0.9646666666666668,0.9646666666666668,0.9646666666666668,0.9646802307287186,0.9646666666666668,0.9645935630842296,3,1,test
0.985,0.985,0.985,0.985,0.9853645576933396,0.985,0.9849227819101196,3,2,train
0.9625,0.9625,0.9625,0.9625,0.964316364065158,0.9625,0.9622494266520782,3,2,val
0.9606666666666668,0.9606666666666668,0.9606666666666668,0.9606666666666668,0.962195126851148,0.9606666666666666,0.960232967686307,3,2,test
0.9491666666666668,0.9491666666666668,0.9491666666666668,0.9491666666666668,0.9552801795917002,0.9491666666666668,0.9489214413906548,3,3,train
0.9375,0.9375,0.9375,0.9375,0.945997348020878,0.9375,0.9370965876529044,3,3,val
0.9253333333333332,0.9253333333333332,0.9253333333333332,0.9253333333333332,0.9353319105931824,0.9253333333333332,0.9251571612837068,3,3,test
0.9791666666666666,0.9791666666666666,0.9791666666666666,0.9791666666666666,0.9800388603260076,0.9791666666666669,0.979193343026212,3,4,train
0.95,0.95,0.95,0.95,0.9530276150959204,0.95,0.9500393370288844,3,4,val
0.9526666666666668,0.9526666666666668,0.9526666666666668,0.9526666666666668,0.9555102465433272,0.9526666666666668,0.9525216611030504,3,4,test
0.9804166666666668,0.9804166666666668,0.9804166666666668,0.9804166666666668,0.9809883388653124,0.9804166666666668,0.9804730031594552,3,5,train
0.97,0.97,0.97,0.97,0.9709075250899304,0.97,0.970048476873318,3,5,val
