accuracy,micro_avg_precision,micro_avg_recall,micro_avg_f1,macro_avg_precision,macro_avg_recall,macro_avg_f1,iteration,fold,data_type
0.9208333333333332,0.9208333333333332,0.9208333333333332,0.9208333333333332,0.9293396539378282,0.9208333333333334,0.9219184996207372,5,3,val
0.91,0.91,0.91,0.91,0.9217825769941358,0.91,0.9115492810429078,5,3,test
0.9179166666666668,0.9179166666666668,0.9179166666666668,0.9179166666666668,0.9207709844766844,0.9179166666666664,0.917683523233256,5,4,train
0.8991666666666667,0.8991666666666667,0.8991666666666667,0.8991666666666667,0.901349313795793,0.8991666666666667,0.8985987967189446,5,4,val
0.884,0.884,0.884,0.884,0.8901486514745158,0.884,0.8839364237323067,5,4,test
0.898125,0.898125,0.898125,0.898125,0.9139565619112828,0.898125,0.8964441738387473,5,5,train
0.8775,0.8775,0.8775,0.8775,0.8972414380973472,0.8775000000000001,0.8761345037400149,5,5,val
0.8533333333333334,0.8533333333333334,0.8533333333333334,0.8533333333333334,0.8789907359293713,0.8533333333333333,0.8507293394938991,5,5,test
0.9225,0.9225,0.9225,0.9225,0.9346204397144608,0.9225,0.9235021496463196,6,1,train
0.905,0.905,0.905,0.905,0.9157932074163624,0.905,0.9063580605144071,6,1,val
0.886,0.886,0.886,0.886,0.9044074767804292,0.8859999999999999,0.8879918451947229,6,1,test
0.9033333333333332,0.9033333333333332,0.9033333333333332,0.9033333333333332,0.9092097472471006,0.9033333333333332,0.9016544397904868,6,2,train
0.8891666666666667,0.8891666666666667,0.8891666666666667,0.8891666666666667,0.8953944867141417,0.8891666666666668,0.8879822493138197,6,2,val
0.884,0.884,0.884,0.884,0.8883092600069477,0.884,0.8828859738229339,6,2,test
0.93375,0.93375,0.93375,0.93375,0.9416103499851666,0.93375,0.9348174490505428,6,3,train
0.9125,0.9125,0.9125,0.9125,0.9208271276743606,0.9125,0.9137810751452216,6,3,val
0.9066666666666666,0.9066666666666666,0.9066666666666666,0.9066666666666666,0.9147899709886144,0.9066666666666666,0.90818872988822,6,3,test
0.9185416666666668,0.9185416666666668,0.9185416666666668,0.9185416666666668,0.9359366173721954,0.9185416666666668,0.9192555439986384,6,4,train
0.8758333333333334,0.8758333333333334,0.8758333333333334,0.8758333333333334,0.899329301117513,0.8758333333333332,0.8780454635192741,6,4,val
0.8946666666666667,0.8946666666666667,0.8946666666666667,0.8946666666666667,0.9135438794255492,0.8946666666666667,0.8946247312864599,6,4,test
0.934375,0.934375,0.934375,0.934375,0.941492223961958,0.934375,0.9345739858515604,6,5,train
0.9016666666666666,0.9016666666666666,0.9016666666666666,0.9016666666666666,0.9138413040265564,0.9016666666666666,0.9017249957616856,6,5,val
0.9066666666666666,0.9066666666666666,0.9066666666666666,0.9066666666666666,0.9166624770770184,0.9066666666666666,0.906965029510709,6,5,test
0.8814583333333333,0.8814583333333333,0.8814583333333333,0.8814583333333333,0.9093016111971644,0.8814583333333333,0.8791817884406846,7,1,train
