accuracy,loss,val_accuracy,val_loss,epoch
0.3043749928474426,8.627975463867188,0.3658333420753479,5.6612868309021,0
0.4243749976158142,4.218890190124512,0.5108333230018616,3.028602123260498,1
0.5866666436195374,2.36405873298645,0.7233333587646484,1.6230597496032715,2
0.6545833349227905,1.5506881475448608,0.7291666865348816,1.2109649181365967,3
0.7231249809265137,1.0807137489318848,0.7233333587646484,0.9711753726005554,4
0.7693750262260437,0.8451261520385742,0.8083333373069763,0.6882475018501282,5
0.7527083158493042,0.7975069880485535,0.800000011920929,0.7193807363510132,6
0.7950000166893005,0.6452721357345581,0.8616666793823242,0.4235920011997223,7
0.831458330154419,0.5264207124710083,0.8441666960716248,0.5292146801948547,8
0.8414583206176758,0.4722977578639984,0.8658333420753479,0.39790865778923035,9
0.8387500047683716,0.47967493534088135,0.8533333539962769,0.4346812963485718,10
0.856041669845581,0.4339694082736969,0.878333330154419,0.38362330198287964,11
0.8727083206176758,0.40778934955596924,0.8683333396911621,0.3840116858482361,12
0.5410416722297668,1.3516885042190552,0.6800000071525574,0.8868962526321411,13
0.7056249976158142,0.8434358835220337,0.815833330154419,0.5470995903015137,14
0.7856249809265137,0.6323750019073486,0.824999988079071,0.5591788291931152,15
0.6766666769981384,1.0874829292297363,0.7541666626930237,0.7603985667228699,16
0.7512500286102295,0.7355267405509949,0.8116666674613953,0.5438675284385681,17
0.7549999952316284,0.7429070472717285,0.8274999856948853,0.5341700315475464,18
0.7368749976158142,0.7690520882606506,0.8125,0.5574852228164673,19
0.7991666793823242,0.6159165501594543,0.8566666841506958,0.4801843464374542,20
0.8189583420753479,0.5473306775093079,0.8391666412353516,0.47438469529151917,21
0.8374999761581421,0.555748701095581,0.8183333277702332,0.5320299863815308,22
0.8206250071525574,0.5194752216339111,0.7983333468437195,0.5923625230789185,23
0.856458306312561,0.42517468333244324,0.8833333253860474,0.3390495777130127,24
