accuracy,loss,val_accuracy,val_loss,epoch
0.6306250095367432,2.2915687561035156,0.8766666650772095,0.29177626967430115,0
0.9133333563804626,0.24104896187782288,0.9541666507720947,0.141158327460289,1
0.9527083039283752,0.13468770682811737,0.9633333086967468,0.12630310654640198,2
0.9664583206176758,0.10503537207841873,0.9691666960716248,0.10308634489774704,3
0.9691666960716248,0.09205300360918045,0.9641666412353516,0.10994309931993484,4
0.9831249713897705,0.05748940259218216,0.9725000262260437,0.08159353584051132,5
0.9850000143051147,0.04533979669213295,0.9733333587646484,0.10706624388694763,6
0.9783333539962769,0.06552664190530777,0.9674999713897705,0.11952033638954163,7
0.9756249785423279,0.08273971825838089,0.9649999737739563,0.12264295667409897,8
0.9827083349227905,0.05664028972387314,0.965833306312561,0.10894423723220825,9
0.9858333468437195,0.044746700674295425,0.9733333587646484,0.11798042058944702,10
0.9806249737739563,0.06959053128957748,0.971666693687439,0.09712749719619751,11
0.9912499785423279,0.02840823493897915,0.9474999904632568,0.19270947575569153,12
0.9756249785423279,0.08461219817399979,0.9758333563804626,0.06970673054456711,13
0.981458306312561,0.056867148727178574,0.9700000286102295,0.1356153041124344,14
0.9902083277702332,0.03321993350982666,0.9791666865348816,0.06048915162682533,15
0.9887499809265137,0.033651482313871384,0.9800000190734863,0.08353859931230545,16
0.9829166531562805,0.051133107393980026,0.9599999785423279,0.1276557892560959,17
0.9937499761581421,0.023201385512948036,0.9816666841506958,0.08158449828624725,18
0.9893749952316284,0.03217117488384247,0.9608333110809326,0.1589822620153427,19
