accuracy,loss,val_accuracy,val_loss,epoch
0.6399999856948853,1.8054903745651245,0.3241666555404663,4.909426212310791,0
0.8762500286102295,0.36831310391426086,0.4350000023841858,2.363607406616211,1
0.9114583134651184,0.26404204964637756,0.41583332419395447,2.2575583457946777,2
0.93770831823349,0.19272689521312714,0.6383333206176758,1.0036448240280151,3
0.9431250095367432,0.16996899247169495,0.5058333277702332,1.6452547311782837,4
0.9483333230018616,0.15907719731330872,0.612500011920929,1.5417290925979614,5
0.9514583349227905,0.15375101566314697,0.3774999976158142,2.5221004486083984,6
0.9547916650772095,0.14555777609348297,0.675000011920929,0.9737735390663147,7
0.9483333230018616,0.17099711298942566,0.6399999856948853,0.9999426007270813,8
0.965624988079071,0.11302061378955841,0.6566666960716248,1.0620628595352173,9
0.9766666889190674,0.07075340300798416,0.7508333325386047,0.901497483253479,10
0.9758333563804626,0.07960660010576248,0.6733333468437195,0.9394068717956543,11
0.9764583110809326,0.07492835819721222,0.7599999904632568,1.1565992832183838,12
0.9700000286102295,0.09797798842191696,0.9158333539962769,0.40777453780174255,13
0.9708333611488342,0.09541613608598709,0.8633333444595337,0.5116491913795471,14
0.9752083420753479,0.0833197608590126,0.7225000262260437,1.7158393859863281,15
0.9616666436195374,0.14191752672195435,0.7716666460037231,0.6661787629127502,16
0.9664583206176758,0.11858922243118286,0.6949999928474426,1.563344120979309,17
0.9674999713897705,0.09242398291826248,0.7491666674613953,0.9985605478286743,18
0.972083330154419,0.0879974439740181,0.7166666388511658,1.30978524684906,19
